id,brand,name,price,currency,description,rating,category,product_type,tag_list
508,nyx,NYX Mosaic Powder Blush Paradise,10.49,None,"NYX Mosaic Powder Blush is a medley of that creates a flush of color and dazzling glow for every skin tone. Features:Five shades in one palette, this blush is bright pink with gold shimmerWorks as blush and highlighterFlattering on every skin toneUse to highlight, enhance & brighten Each mosaic of color blends beautifully with magical results",5.0,None,bronzer,[]
505,annabelle,Annabelle Biggy Bronzer Haute Gold,11.99,None,"Bronzed to perfection! Get sun-kissed, radiant skin in seconds with this
 Annabelle Biggy Bronzer mix of bronze and golden shades.",5.0,None,bronzer,[]
503,physicians formula,Physicians Formula Super BB InstaReady Filter BB Bronzer,19.99,None,"Featuring InstaFilter Technology, a proprietary blend of mattifying and pore balancing spherical beads, color filter pigments and high-tech polymers that work together to instantly optimize light reflection, blur imperfections and visibly retexturize skin.#SunkissedGlow: Ultra-lightweight, multi-colored bronzer delivers a multi-dimensional glow that captures, diffuses and softens the reflection of light on your skin for the ultimate sunkissed glow. Features:Velvety-soft texture instantly melts into skinContains dial-sphere particles that absorb oil but not moistureCreates a smooth, skin-perfecting radiant tan glowDirections: May be worn alone or over makeup. Lightly brush powder over face and neck for a natural-looking tan glow. To accentuate and contour, apply more over cheekbones. For the most even application, be sure to tap excess powder from brush before applying. Ingredients: Ingredients: Talc, Caprylic/Capric Triglyceride, Mica, Nylon-12, Silica, Calcium Aluminum Borosilicate, Lauroyl Lysine, Dimethicone, Aluminum Chlorohydrate, Fomes Officinalis (Mushroom) Extract, Alumina, Butylene Glycol, Methyl Methacrylate Crosspolymer, PEG-40 Hydrogenated Castor Oil, Tin Oxide, Triethoxycaprylylsilane, Phenoxyethanol, Ethylhexylglycerin, Benzoic Acid, Dehydroacetic Acid ",4.0,None,bronzer,"['Gluten Free', 'Natural']"
495,maybelline,Maybelline Face Studio Master Hi-Light Light Booster Bronzer,14.99,None,"Maybelline Face Studio Master Hi-Light Light Boosting bronzer formula has an expert 
balance of shade + shimmer illuminator for natural glow. Skin goes 
soft-lit with zero glitz.

		For Best Results: Brush over all shades in palette and gently sweep over 
cheekbones, brow bones, and temples, or anywhere light naturally touches
 the face.

		
	

                    ",5.0,None,bronzer,[]
493,physicians formula,Physicians Formula Bronze Booster Glow-Boosting Pressed Bronzer,20.99,None,"This bronzer with benefits provides an instant and lasting tan-boost that blends and builds easily to your desired level of bronze. Lightweight powder glides on smoothly for a totally uniform and even, healthy-looking tan glow. Formulated with Glow Activators, an exclusive infusion of vitamins, moisturizers and antioxidants that provide mistake-proof Triple-Action Bronze Boosting.Directions for Use: May be worn alone or over makeup. Lightly brush powder over face and neck for a natural-looking tan glow. To accentuate and contour, apply more over cheekbones. For the most even application, be sure to tap excess powder from brush before applying.Ingredients: Talc, Mica, Nylon-12, Zinc Stearate, Cyclopentasiloxane, Dimethicone, Diisostearyl Malate, Octyldodecyl Stearoyl Stearate, Dehydroacetic Acid, Inositol, Lauroyl Lysine, Macuna Pruriens Seed Extract, Maltodextrin, Phospholipids, Silica, Sorbic Acid, Sorbitan Sesquioleate, Ascorbic Acid, Tocopherol, Tocopheryl Acetate, Methylparaben, Propylparaben, May Contain: Iron Oxides, Titanium Dioxide, Ultramarines.* Stain-Free. Streak-Free. Orange-Free. Odour-Free.",4.7,None,bronzer,[]
490,None,Earth Lab Loose Mineral Bronzer,24.0,None,"Earth Lab Loose Mineral Bronzer sets softly on your skin 
			for a very natural look. It offers a sun kissed glow 
			without being too orange like some other bronzers. This bronze does not have any additives or fillers so you'll use less than 
			the size of a dime for your entire face! What look do you go for: the natural bronzed babe, tropical brights, or classic beauty? Try all three with this get the look with natural makeup piece found on our blog, The Well! Ingredients: Mica and Iron oxidesMay Contain: ultra marine blue, Titanium dioxideBottom Label:",5.0,None,bronzer,"['Canadian', 'Natural']"
489,cargo cosmetics,Cargo Cosmetics Swimmables Water Resistant Bronzer,29.0,None,"Cargo Cosmetics Swimmables Water Resistant Bronzer is a sweat-proof and weatherproof bronzer with a silky powder formula that glides over the skin for a subtle radiant glow.
Features: Natural-looking colour, never orangeThe sheer powder is buildable for a customized lookSilicone-coated pigments provide better adhesion to the skin and help withstand water for extended wear L-Lysine, an amino acid found naturally in the skin, helps increase the bronzer's long-wearing and water-resistant propertiesParaben freeThis makeup is a definite hit for the sun kissing summertime! Try this and other beach ready beauty picks on our blog, The Well!Directions: Using a large fluffy brush, apply over areas of the
 face that are naturally touched by the sun; cheekbones, forehead near 
the hair line, temples and along the jaw line.Ingredients: Talc, Octyldodecyl Stearate, Lauroyl Lysine, Dimethicone, Zinc Stearate,
 Methicone, Sodium Benzoate, Sodium Dehydroacetate, Benzethonium 
Chloride, Tocopheryl Acetate. May Contain: (+/-): Mica (CI 77019), 
Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499),
 Bismuth Oxychloride (CI 77163), Ultramarines (CI 77007), Manganese 
Violet (CI 77742), Red 7 Lake (CI 15850). ",5.0,None,bronzer,[]
488,maybelline,Maybelline Fit Me Bronzer,10.29,None,"Why You'll Love It

Lightweight pigments blend easily and wear evenly
Provides a natural, fade-proof bronzed color that leaves skin the way it was meant to be...fresh, breathing and natural

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",4.5,None,bronzer,[]
487,physicians formula,Physicians Formula Bronze Booster Airbrushing Bronzing Veil ,19.99,None,"Physicians Formula Bronze Booster Airbrushing Bronzing Veil  is a Bronzer with Benefits!  Revolutionary Italian technology 
combines the best features of powder, baked and cream bronzers for the 
most stunning bronze glow.  Delivers a skin-perfecting finish unlike any
 other bronzer, Physicians Formula had to call it ""Deluxe""!  
 Glow Activator Technology provides Triple-Action Bronze Boosting that 
helps to enhance and extend the life of your tan glow and improve skin’s
 clarity and radiance.Directions: May be worn alone or over makeup. Lightly brush veil over face and neck 
for a natural looking tan glow.  To accentuate and contour apply more 
over cheekbones. For the most even application, be sure to tap excess 
powder from brush before applying.Ingredients: Synthetic Fluorphlogopite, HDI/Trimethylol Hexyllactone Crosspolymer, 
Cetearyl Ethylhexanoate, Glycerin,  Squalane, Dicalcium Phosphate, 
Octyldodecyl Stearoyl Stearate, Caprylyl Glycol, Ethylhexylglycerin, 
Polysorbate 80, 1,2-Hexanediol, PTFE, Dimethicone, Silica, 
Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate, Chondrus 
Crispus, Xanthan Gum, Zinc Stearate, Lauroyl Lysine, Cimicifuga Racemosa
 Root Extract, Ascorbyl Palmitate, Inositol, Tocopherol. May Contain: 
Iron Oxides, Mica, Titanium Dioxide.Hypoallergenic. Fragrance-Free. Paraben-Free. Gluten Free.  Oil Free. Dermatologist approved.  ",5.0,None,bronzer,['Gluten Free']
486,covergirl,CoverGirl Clean Glow Bronzer,8.99,None,"Flaunt the coveted beach-bronze glow in one simple step. This versatile 
3-in-1 multi-shade compact lets you customize your color to create a 
radiant effect. Use just one color or all three!Features: Beautiful bronze glow in just one stepBlendable, multi-shade compactClean and natural lookHow to Apply: Dip powder brush in bronzer and tap off any excess.
Sweep bronzer on your cheeks and temples.
Using a lighter touch, sweep bronzer where the sun naturally hits your face, including your nose, chin, and forehead.
                            ",5.0,None,bronzer,[]
